,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,4s,6s,SR,dismissal_kind,fielder
0,2017,1,1,Sunrisers Hyderabad,BCJ Cutting,16,6.0,0.0,2.0,266.67,,
1,2017,1,1,Sunrisers Hyderabad,DA Warner,14,8.0,2.0,1.0,175.0,caught,Mandeep Singh
2,2017,1,1,Sunrisers Hyderabad,DJ Hooda,16,12.0,0.0,1.0,133.33,,
3,2017,1,1,Sunrisers Hyderabad,MC Henriques,52,37.0,3.0,2.0,140.54,caught,Sachin Baby
4,2017,1,1,Sunrisers Hyderabad,S Dhawan,40,31.0,5.0,0.0,129.03,caught,Sachin Baby
5,2017,1,1,Sunrisers Hyderabad,Yuvraj Singh,62,27.0,7.0,3.0,229.63,bowled,
6,2017,1,2,Royal Challengers Bangalore,A Choudhary,6,2.0,0.0,1.0,300.0,,
7,2017,1,2,Royal Challengers Bangalore,CH Gayle,32,21.0,2.0,3.0,152.38,caught,DA Warner
8,2017,1,2,Royal Challengers Bangalore,KM Jadhav,31,16.0,4.0,1.0,193.75,run out,BCJ Cutting
9,2017,1,2,Royal Challengers Bangalore,Mandeep Singh,24,16.0,5.0,0.0,150.0,bowled,
10,2017,1,2,Royal Challengers Bangalore,S Aravind,0,2.0,0.0,0.0,0.0,bowled,
11,2017,1,2,Royal Challengers Bangalore,SR Watson,22,17.0,1.0,1.0,129.41,caught,MC Henriques
12,2017,1,2,Royal Challengers Bangalore,STR Binny,11,10.0,0.0,1.0,110.0,caught,Yuvraj Singh
13,2017,1,2,Royal Challengers Bangalore,Sachin Baby,1,3.0,0.0,0.0,33.33,caught,MC Henriques
14,2017,1,2,Royal Challengers Bangalore,TM Head,30,22.0,3.0,0.0,136.36,caught,Yuvraj Singh
15,2017,1,2,Royal Challengers Bangalore,TS Mills,6,3.0,0.0,1.0,200.0,caught,DA Warner
16,2017,1,2,Royal Challengers Bangalore,YS Chahal,3,7.0,0.0,0.0,42.86,run out,CJ Jordan (sub)
