,season,match_id,inning,bowling_team,bowler,over,wide_runs,noball_runs,runs,extra,wickets,Econ
0,2017,1,1,Royal Challengers Bangalore,A Choudhary,4,3,1,55,4,1.0,13.75
1,2017,1,1,Royal Challengers Bangalore,S Aravind,3,0,0,36,0,0.0,12.0
2,2017,1,1,Royal Challengers Bangalore,SR Watson,3,0,0,41,0,0.0,13.67
3,2017,1,1,Royal Challengers Bangalore,STR Binny,1,0,0,10,0,1.0,10.0
4,2017,1,1,Royal Challengers Bangalore,TM Head,1,0,0,11,0,0.0,11.0
5,2017,1,1,Royal Challengers Bangalore,TS Mills,4,2,0,31,2,1.0,7.75
6,2017,1,1,Royal Challengers Bangalore,YS Chahal,4,0,0,22,0,1.0,5.5
7,2017,1,2,Sunrisers Hyderabad,A Nehra,4,1,0,42,1,2.0,10.5
8,2017,1,2,Sunrisers Hyderabad,B Kumar,4,1,0,27,1,2.0,6.75
9,2017,1,2,Sunrisers Hyderabad,BCJ Cutting,4,2,0,35,2,0.0,8.75
10,2017,1,2,Sunrisers Hyderabad,Bipul Sharma,1,0,0,4,0,1.0,4.0
11,2017,1,2,Sunrisers Hyderabad,DJ Hooda,1,0,0,7,0,1.0,7.0
12,2017,1,2,Sunrisers Hyderabad,MC Henriques,2,0,1,20,1,0.0,10.0
13,2017,1,2,Sunrisers Hyderabad,Rashid Khan,4,0,0,36,0,2.0,9.0
14,2017,2,1,Rising Pune Supergiant,A Zampa,3,1,0,26,1,1.0,8.67
15,2017,2,1,Rising Pune Supergiant,AB Dinda,4,3,0,57,3,0.0,14.25
16,2017,2,1,Rising Pune Supergiant,BA Stokes,4,2,0,36,2,1.0,9.0
17,2017,2,1,Rising Pune Supergiant,DL Chahar,2,0,0,21,0,0.0,10.5
18,2017,2,1,Rising Pune Supergiant,Imran Tahir,4,0,0,28,0,3.0,7.0
19,2017,2,1,Rising Pune Supergiant,R Bhatia,3,0,0,14,0,2.0,4.67
20,2017,2,2,Mumbai Indians,HH Pandya,4,0,0,36,0,1.0,9.0
21,2017,2,2,Mumbai Indians,JJ Bumrah,4,0,0,29,0,0.0,7.25
22,2017,2,2,Mumbai Indians,KA Pollard,2,1,0,30,1,0.0,15.0
23,2017,2,2,Mumbai Indians,KH Pandya,2,0,0,21,0,0.0,10.5
24,2017,2,2,Mumbai Indians,MJ McClenaghan,4,0,0,36,0,1.0,9.0
25,2017,2,2,Mumbai Indians,TG Southee,4,2,0,34,2,1.0,8.5
26,2017,3,1,Kolkata Knight Riders,CR Woakes,3,0,0,35,0,0.0,11.67
27,2017,3,1,Kolkata Knight Riders,Kuldeep Yadav,4,0,0,25,0,2.0,6.25
28,2017,3,1,Kolkata Knight Riders,PP Chawla,4,1,0,33,1,1.0,8.25
29,2017,3,1,Kolkata Knight Riders,SP Narine,4,0,0,33,0,0.0,8.25
30,2017,3,1,Kolkata Knight Riders,TA Boult,4,1,0,40,1,1.0,10.0
31,2017,3,1,Kolkata Knight Riders,YK Pathan,1,0,0,15,0,0.0,15.0
32,2017,3,2,Gujarat Lions,DR Smith,1,0,0,23,0,0.0,23.0
33,2017,3,2,Gujarat Lions,DS Kulkarni,3,2,0,42,2,0.0,14.0
34,2017,3,2,Gujarat Lions,MS Gony,2,3,0,32,3,0.0,16.0
35,2017,3,2,Gujarat Lions,P Kumar,2,0,0,13,0,0.0,6.5
36,2017,3,2,Gujarat Lions,S Kaushik,4,0,0,40,0,0.0,10.0
37,2017,3,2,Gujarat Lions,SB Jakati,3,6,0,30,6,0.0,10.0
38,2017,4,1,Kings XI Punjab,AR Patel,4,2,0,27,2,1.0,6.75
39,2017,4,1,Kings XI Punjab,MM Sharma,4,0,0,34,0,0.0,8.5
40,2017,4,1,Kings XI Punjab,MP Stoinis,3,3,0,28,3,1.0,9.33
41,2017,4,1,Kings XI Punjab,Sandeep Sharma,4,0,0,33,0,2.0,8.25
42,2017,4,1,Kings XI Punjab,Swapnil Singh,2,0,0,14,0,1.0,7.0
43,2017,4,1,Kings XI Punjab,T Natarajan,3,0,0,26,0,1.0,8.67
44,2017,4,2,Rising Pune Supergiant,AB Dinda,3,0,0,26,0,1.0,8.67
45,2017,4,2,Rising Pune Supergiant,BA Stokes,4,1,0,32,1,0.0,8.0
46,2017,4,2,Rising Pune Supergiant,DT Christian,2,2,0,24,2,0.0,12.0
47,2017,4,2,Rising Pune Supergiant,Imran Tahir,4,0,0,29,0,2.0,7.25
48,2017,4,2,Rising Pune Supergiant,R Bhatia,2,2,0,20,2,0.0,10.0
49,2017,4,2,Rising Pune Supergiant,RD Chahar,4,4,0,32,4,1.0,8.0
50,2017,5,1,Delhi Daredevils,A Mishra,2,0,0,32,0,0.0,16.0
51,2017,5,1,Delhi Daredevils,CH Morris,4,0,0,21,0,3.0,5.25
52,2017,5,1,Delhi Daredevils,CR Brathwaite,2,1,0,29,1,0.0,14.5
53,2017,5,1,Delhi Daredevils,PJ Cummins,4,1,0,29,1,1.0,7.25
54,2017,5,1,Delhi Daredevils,S Nadeem,4,1,0,13,1,1.0,3.25
55,2017,5,1,Delhi Daredevils,Z Khan,4,1,0,31,1,2.0,7.75
56,2017,5,2,Royal Challengers Bangalore,B Stanlake,4,1,0,29,1,2.0,7.25
57,2017,5,2,Royal Challengers Bangalore,Iqbal Abdulla,3,3,0,36,3,2.0,12.0
58,2017,5,2,Royal Challengers Bangalore,P Negi,1,0,0,3,0,2.0,3.0
59,2017,5,2,Royal Challengers Bangalore,SR Watson,4,0,0,21,0,1.0,5.25
60,2017,5,2,Royal Challengers Bangalore,TS Mills,4,0,0,33,0,1.0,8.25
61,2017,5,2,Royal Challengers Bangalore,YS Chahal,4,0,0,19,0,1.0,4.75
62,2017,6,1,Sunrisers Hyderabad,A Nehra,4,0,0,27,0,1.0,6.75
63,2017,6,1,Sunrisers Hyderabad,B Kumar,4,0,0,21,0,2.0,5.25
64,2017,6,1,Sunrisers Hyderabad,BCJ Cutting,3,0,0,29,0,0.0,9.67
65,2017,6,1,Sunrisers Hyderabad,Bipul Sharma,4,0,0,24,0,0.0,6.0
66,2017,6,1,Sunrisers Hyderabad,MC Henriques,1,0,0,12,0,0.0,12.0
67,2017,6,1,Sunrisers Hyderabad,Rashid Khan,4,0,0,19,0,3.0,4.75
68,2017,6,2,Gujarat Lions,Basil Thampi,2,2,0,21,2,0.0,10.5
69,2017,6,2,Gujarat Lions,DS Kulkarni,2,0,0,17,0,0.0,8.5
70,2017,6,2,Gujarat Lions,P Kumar,2,0,0,16,0,1.0,8.0
71,2017,6,2,Gujarat Lions,S Kaushik,4,1,0,29,1,0.0,7.25
72,2017,6,2,Gujarat Lions,SK Raina,2,0,0,24,0,0.0,12.0
73,2017,6,2,Gujarat Lions,Tejas Baroka,4,0,0,33,0,0.0,8.25
74,2017,7,1,Mumbai Indians,Harbhajan Singh,4,0,0,27,0,0.0,6.75
75,2017,7,1,Mumbai Indians,JJ Bumrah,4,0,2,39,2,1.0,9.75
76,2017,7,1,Mumbai Indians,KH Pandya,4,0,0,24,0,3.0,6.0
77,2017,7,1,Mumbai Indians,MJ McClenaghan,4,3,1,51,4,1.0,12.75
78,2017,7,1,Mumbai Indians,SL Malinga,4,2,0,36,2,2.0,9.0
79,2017,7,2,Kolkata Knight Riders,AS Rajpoot,4,1,0,37,1,3.0,9.25
80,2017,7,2,Kolkata Knight Riders,CR Woakes,4,4,0,34,4,1.0,8.5
81,2017,7,2,Kolkata Knight Riders,Kuldeep Yadav,4,1,0,35,1,1.0,8.75
82,2017,7,2,Kolkata Knight Riders,SP Narine,4,0,0,22,0,1.0,5.5
83,2017,7,2,Kolkata Knight Riders,TA Boult,4,1,0,47,1,0.0,11.75
84,2017,8,1,Kings XI Punjab,AR Patel,4,0,0,12,0,1.0,3.0
85,2017,8,1,Kings XI Punjab,MM Sharma,4,0,0,47,0,0.0,11.75
86,2017,8,1,Kings XI Punjab,MP Stoinis,3,1,0,28,1,0.0,9.33
87,2017,8,1,Kings XI Punjab,Sandeep Sharma,4,1,0,26,1,1.0,6.5
88,2017,8,1,Kings XI Punjab,T Natarajan,1,1,0,13,1,0.0,13.0
89,2017,8,1,Kings XI Punjab,VR Aaron,4,0,0,21,0,2.0,5.25
90,2017,8,2,Royal Challengers Bangalore,B Stanlake,4,1,0,41,1,0.0,10.25
91,2017,8,2,Royal Challengers Bangalore,Iqbal Abdulla,2,1,0,19,1,0.0,9.5
92,2017,8,2,Royal Challengers Bangalore,P Negi,1,0,0,7,0,0.0,7.0
93,2017,8,2,Royal Challengers Bangalore,SR Watson,2,0,0,28,0,0.0,14.0
94,2017,8,2,Royal Challengers Bangalore,TS Mills,2,0,0,22,0,1.0,11.0
95,2017,8,2,Royal Challengers Bangalore,YS Chahal,4,0,0,29,0,1.0,7.25
96,2017,9,1,Rising Pune Supergiant,A Zampa,4,0,0,45,0,1.0,11.25
97,2017,9,1,Rising Pune Supergiant,AB Dinda,3,2,0,36,2,0.0,12.0
98,2017,9,1,Rising Pune Supergiant,BA Stokes,4,0,0,41,0,0.0,10.25
99,2017,9,1,Rising Pune Supergiant,DL Chahar,3,2,0,35,2,1.0,11.67
100,2017,9,1,Rising Pune Supergiant,Imran Tahir,4,1,0,24,1,1.0,6.0
101,2017,9,1,Rising Pune Supergiant,R Bhatia,2,0,0,21,0,0.0,10.5
102,2017,9,2,Delhi Daredevils,A Mishra,3,0,0,11,0,3.0,3.67
103,2017,9,2,Delhi Daredevils,CH Morris,2,1,0,19,1,1.0,9.5
104,2017,9,2,Delhi Daredevils,CJ Anderson,1,0,0,10,0,0.0,10.0
105,2017,9,2,Delhi Daredevils,PJ Cummins,4,1,0,24,1,2.0,6.0
106,2017,9,2,Delhi Daredevils,S Nadeem,4,1,0,23,1,1.0,5.75
107,2017,9,2,Delhi Daredevils,Z Khan,3,1,0,20,1,3.0,6.67
108,2017,10,1,Mumbai Indians,HH Pandya,3,3,0,22,3,1.0,7.33
109,2017,10,1,Mumbai Indians,Harbhajan Singh,4,0,0,23,0,2.0,5.75
110,2017,10,1,Mumbai Indians,JJ Bumrah,4,0,0,24,0,3.0,6.0
111,2017,10,1,Mumbai Indians,KH Pandya,1,1,1,12,2,0.0,12.0
112,2017,10,1,Mumbai Indians,MJ McClenaghan,4,0,0,42,0,1.0,10.5
