,match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,Team1_score,Team2_score,win_by_runs,win_by_wickets,Team1_extras,Team2_extras,Team1_superover_score,Team2_superover_score,Team1_superover_extras,Team2_superover_extras,player_of_match,type,venue,umpire1,umpire2,umpire3
0,1,2017,Hyderabad,4/5/2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,207.0,172.0,35,0,7.0,6.0,,,,,Yuvraj Singh,pre-qualifier,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,
1,2,2017,Pune,4/6/2017,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,184.0,187.0,0,7,8.0,4.0,,,,,SPD Smith,pre-qualifier,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,
2,3,2017,Rajkot,4/7/2017,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,183.0,184.0,0,10,4.0,15.0,,,,,CA Lynn,pre-qualifier,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,
3,4,2017,Indore,4/8/2017,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,163.0,164.0,0,6,6.0,10.0,,,,,GJ Maxwell,pre-qualifier,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
4,5,2017,Bangalore,4/8/2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,157.0,142.0,15,0,6.0,5.0,,,,,KM Jadhav,pre-qualifier,M Chinnaswamy Stadium,,,
5,6,2017,Hyderabad,4/9/2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,135.0,140.0,0,9,3.0,3.0,,,,,Rashid Khan,pre-qualifier,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,
6,7,2017,Mumbai,4/9/2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,178.0,180.0,0,4,9.0,12.0,,,,,N Rana,pre-qualifier,Wankhede Stadium,Nitin Menon,CK Nandan,
7,8,2017,Indore,4/10/2017,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,148.0,150.0,0,8,4.0,6.0,,,,,AR Patel,pre-qualifier,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
8,9,2017,Pune,4/11/2017,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Delhi Daredevils,205.0,108.0,97,0,8.0,5.0,,,,,SV Samson,pre-qualifier,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,
9,10,2017,Mumbai,4/12/2017,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,158.0,159.0,0,4,11.0,4.0,,,,,JJ Bumrah,pre-qualifier,Wankhede Stadium,Nitin Menon,CK Nandan,
10,11,2017,Kolkata,4/13/2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,170.0,171.0,0,8,16.0,11.0,,,,,SP Narine,pre-qualifier,Eden Gardens,A Deshmukh,NJ Llong,
11,12,2017,Bangalore,4/14/2017,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,142.0,145.0,0,4,11.0,13.0,,,,,KA Pollard,pre-qualifier,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,
12,13,2017,Rajkot,4/14/2017,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,171.0,172.0,0,7,5.0,5.0,,,,,AJ Tye,pre-qualifier,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,
13,14,2017,Kolkata,4/15/2017,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,172.0,155.0,17,0,11.0,7.0,,,,,RV Uthappa,pre-qualifier,Eden Gardens,AY Dandekar,NJ Llong,
14,15,2017,Delhi,4/15/2017,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,Delhi Daredevils,188.0,137.0,51,0,10.0,2.0,,,,,CJ Anderson,pre-qualifier,Feroz Shah Kotla,YC Barde,Nitin Menon,
15,16,2017,Mumbai,4/16/2017,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,176.0,177.0,0,6,11.0,13.0,,,,,N Rana,pre-qualifier,Wankhede Stadium,A Nand Kishore,S Ravi,
16,17,2017,Bangalore,4/16/2017,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Rising Pune Supergiant,161.0,134.0,27,0,13.0,8.0,,,,,BA Stokes,pre-qualifier,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin,
17,18,2017,Delhi,4/17/2017,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,168.0,169.0,0,4,3.0,11.0,,,,,NM Coulter-Nile,pre-qualifier,Feroz Shah Kotla,Nitin Menon,CK Nandan,
18,19,2017,Hyderabad,4/17/2017,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Sunrisers Hyderabad,159.0,154.0,5,0,11.0,10.0,,,,,B Kumar,pre-qualifier,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh,
19,20,2017,Rajkot,4/18/2017,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,Royal Challengers Bangalore,213.0,192.0,21,0,4.0,8.0,,,,,CH Gayle,pre-qualifier,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma,
20,21,2017,Hyderabad,4/19/2017,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,191.0,176.0,15,0,4.0,7.0,,,,,KS Williamson,pre-qualifier,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong,
21,22,2017,Indore,4/20/2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,198.0,199.0,0,8,12.0,8.0,,,,,JC Buttler,pre-qualifier,Holkar Cricket Stadium,M Erasmus,C Shamshuddin,
22,23,2017,Kolkata,4/21/2017,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,187.0,188.0,0,4,3.0,5.0,,,,,SK Raina,pre-qualifier,Eden Gardens,CB Gaffaney,Nitin Menon,
23,24,2017,Mumbai,4/22/2017,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,142.0,128.0,14,0,16.0,8.0,,,,,MJ McClenaghan,pre-qualifier,Wankhede Stadium,A Nand Kishore,S Ravi,
24,25,2017,Pune,4/22/2017,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,0,Rising Pune Supergiant,176.0,179.0,0,6,8.0,3.0,,,,,MS Dhoni,pre-qualifier,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh,
25,26,2017,Rajkot,4/23/2017,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings XI Punjab,188.0,162.0,26,0,5.0,7.0,,,,,HM Amla,pre-qualifier,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus,
