,bowler,over,runs,wickets,Econ
0,A Ashish Reddy,45,396,18.0,8.8
1,A Chandila,39,242,11.0,6.21
2,A Choudhary,17,144,5.0,8.47
3,A Flintoff,11,105,2.0,9.55
4,A Kumble,163,1058,45.0,6.49
5,A Mishra,442,3261,134.0,7.38
6,A Mithun,48,472,7.0,9.83
7,A Nehra,320,2495,106.0,7.8
8,A Nel,3,31,1.0,10.33
9,A Singh,80,620,28.0,7.75
10,A Symonds,88,674,20.0,7.66
11,A Uniyal,6,66,2.0,11.0
12,A Zampa,37,278,19.0,7.51
13,AA Chavan,42,326,8.0,7.76
14,AA Jhunjhunwala,15,129,1.0,8.6
15,AA Kazi,2,21,0.0,10.5
16,AA Noffke,4,40,1.0,10.0
17,AB Agarkar,131,1151,29.0,8.79
18,AB Dinda,255,2073,69.0,8.13
19,AB McDonald,31,261,11.0,8.42
20,AC Gilchrist,1,0,1.0,0.0
21,AC Thomas,53,406,14.0,7.66
22,AC Voges,9,76,0.0,8.44
23,AD Mascarenhas,52,356,19.0,6.85
24,AD Mathews,133,1079,27.0,8.11
25,AD Russell,106,896,31.0,8.45
26,AF Milne,18,177,4.0,9.83
27,AG Murtaza,44,313,9.0,7.11
28,AJ Finch,8,67,1.0,8.38
29,AJ Tye,21,141,12.0,6.71
30,AL Menaria,19,144,3.0,7.58
31,AM Nayar,39,322,9.0,8.26
32,AM Rahane,1,5,1.0,5.0
33,AM Salvi,25,200,7.0,8.0
34,AN Ahmed,58,498,12.0,8.59
35,AP Dole,11,112,5.0,10.18
36,AR Patel,209,1547,58.0,7.4
37,AS Rajpoot,29,240,8.0,8.28
38,AS Raut,5,44,0.0,8.8
39,AUK Pathan,7,63,0.0,9.0
40,Abdur Razzak,2,29,0.0,14.5
41,Anand Rajan,25,201,8.0,8.04
42,Ankit Sharma,61,439,12.0,7.2
43,Ankit Soni,19,144,2.0,7.58
44,Anureet Singh,65,581,17.0,8.94
45,Avesh Khan,4,23,1.0,5.75
46,Azhar Mahmood,91,700,29.0,7.69
